,ChargeDischarge,EnableBlower_Out,EnablePropane_Out,EnableWaterPump_Out,TankHeater,Valve1,Valve2,Valve3,Valve4,FWaterPumpHPKgS,PCondenserIn,PWaterPumpLP,PWaterReturn,TBlk1Seg1C1,TBlk1Seg1C2,TBlk1Seg1C3,TBlk1Seg1C4,TBlk1Seg1C5,TBlk1Seg1C6,TBlk1Seg1E1,TBlk1Seg1E2,TBlk1Seg1T1,TBlk1Seg1T2,TBlk1Seg1T3,TBlk1Seg1T4,TBlk1Seg1T5,TBlk1Seg1T6,TBlk1Seg1T7,TBlk1Seg1T8,TBlk1Seg2T1,TBlk1Seg2T2,TBlk1Seg2T3,TBlk1Seg2T4,TBlk1Seg2T5,TBlk1Seg2T6,TBlk1Seg2T7,TBlk1Seg2T8,TBlk1Seg3C1,TBlk1Seg3C2,TBlk1Seg3C3,TBlk1Seg3C4,TBlk1Seg3C5,TBlk1Seg3C6,TBlk1Seg3T1,TBlk1Seg3T2,TBlk1Seg3T3,TBlk1Seg3T4,TBlk1Seg3T5,TBlk1Seg3T6,TBlk1Seg3T7,TBlk1Seg3T8,TBlk1Seg4T1,TBlk1Seg4T2,TBlk1Seg4T3,TBlk1Seg4T4,TBlk1Seg4T5,TBlk1Seg4T6,TBlk1Seg4T7,TBlk1Seg4T8,TBlk1Seg5C1,TBlk1Seg5C2,TBlk1Seg5C3,TBlk1Seg5C4,TBlk1Seg5C5,TBlk1Seg5C6,TBlk1Seg5T1,TBlk1Seg5T2,TBlk1Seg5T3,TBlk1Seg5T4,TBlk1Seg5T5,TBlk1Seg5T6,TBlk1Seg5T7,TBlk1Seg5T8,TBlk1Seg6T1,TBlk1Seg6T2,TBlk1Seg6T3,TBlk1Seg6T4,TBlk1Seg6T5,TBlk1Seg6T6,TBlk1Seg6T7,TBlk1Seg6T8,TBlk1Seg7C1,TBlk1Seg7C2,TBlk1Seg7C3,TBlk1Seg7C4,TBlk1Seg7C5,TBlk1Seg7C6,TBlk1Seg7E1,TBlk1Seg7E2,TBlk1Seg7T1,TBlk1Seg7T2,TBlk1Seg7T3,TBlk1Seg7T4,TBlk1Seg7T5,TBlk1Seg7T6,TBlk1Seg7T7,TBlk1Seg7T8,TBoilerOut,TBurnerTemp1,TBurnerTemp2,TBurnerTemp3,TCondenserIn,TExhaust,TTESBlk1Seg1C1,TTESBlk1Seg1C2,TTESBlk1Seg1C3,TTESBlk1Seg1T1,TTESBlk1Seg1T2,TTESBlk1Seg1T3,TTESBlk1Seg2C1,TTESBlk1Seg2C2,TTESBlk1Seg2C3,TTESBlk1Seg2T1,TTESBlk1Seg2T2,TTESBlk1Seg2T3,TTESBlk1Seg3C1,TTESBlk1Seg3C2,TTESBlk1Seg3C3,TTESBlk1Seg3T1,TTESBlk1Seg3T2,TTESBlk1Seg3T3,TTESBlk1Seg4C1,TTESBlk1Seg4C2,TTESBlk1Seg4C3,TTESBlk1Seg4T1,TTESBlk1Seg4T2,TTESBlk1Seg4T3,TTESBlk1Seg5C1,TTESBlk1Seg5C2,TTESBlk1Seg5C3,TTESBlk1Seg5T1,TTESBlk1Seg5T2,TTESBlk1Seg5T3,TTESBlk1Seg6C1,TTESBlk1Seg6C2,TTESBlk1Seg6C3,TTESBlk1Seg6T1,TTESBlk1Seg6T2,TTESBlk1Seg6T3,TTESBlk1Seg7C1,TTESBlk1Seg7C2,TTESBlk1Seg7C3,TTESBlk1Seg7T1,TTESBlk1Seg7T2,TTESBlk1Seg7T3,TTESBlk2Seg1C1,TTESBlk2Seg1C2,TTESBlk2Seg1C3,TTESBlk2Seg1T1,TTESBlk2Seg1T2,TTESBlk2Seg1T3,TTESBlk2Seg2C1,TTESBlk2Seg2C2,TTESBlk2Seg2C3,TTESBlk2Seg2T1,TTESBlk2Seg2T2,TTESBlk2Seg2T3,TTESBlk2Seg3C1,TTESBlk2Seg3C2,TTESBlk2Seg3C3,TTESBlk2Seg3T1,TTESBlk2Seg3T2,TTESBlk2Seg3T3,TTESBlk2Seg4C1,TTESBlk2Seg4C2,TTESBlk2Seg4C3,TTESBlk2Seg4T1,TTESBlk2Seg4T2,TTESBlk2Seg4T3,TTESBlk2Seg5C1,TTESBlk2Seg5C2,TTESBlk2Seg5C3,TTESBlk2Seg5T1,TTESBlk2Seg5T2,TTESBlk2Seg5T3,TTESBlk2Seg6C1,TTESBlk2Seg6C2,TTESBlk2Seg6C3,TTESBlk2Seg6T1,TTESBlk2Seg6T2,TTESBlk2Seg6T3,TTESBlk2Seg7C1,TTESBlk2Seg7C2,TTESBlk2Seg7C3,TTESBlk2Seg7T1,TTESBlk2Seg7T2,TTESBlk2Seg7T3,TTESBlock1BottomManifoldIn,TTESBlock1BottomManifoldOut,TTESBlock1TopManifoldIn,TTESBlock1TopManifoldOut,TTESBlock2BottomManifoldIn,TTESBlock2BottomManifoldOut,TTESBlock2TopManifoldIn,TTESBlock2TopManifoldOut,TTESIn,TWaterPumpHP,TWaterPumpLP,TWaterReturn,TWaterTank,WaterPumpSpeed,PWaterPumpHP,dpExhaustIn1,dpExhaustIn2,dpExhaustIn3,dpExhaustInAvg,TFlameTemp,TAmbient,BlowerSpeed
0,False,False,True,False,False,False,False,True,True,0.0,39.216286,-14.699999809265137,3.6622212,0.0,484.2,10.4,232.1,232.2,0.0,0.0,0.0,1372.0,1372.0,404.3,1372.0,1372.0,232.6,228.4,0.0,0.0,1372.0,1372.0,310.9,309.5,308.7,311.0,312.7,1372.0,313.9,310.9,312.9,313.7,309.7,301.4,312.7,313.9,313.5,172.8,312.6,313.9,313.2,303.9,302.9,304.0,302.9,303.9,302.3,304.0,302.6,0.0,283.5,282.4,282.9,283.1,0.0,283.0,283.5,284.5,284.1,0.0,285.1,285.1,285.1,77.8,12.8,14.2,93.6,232.1,232.1,235.8,121.1,76.7,75.1,73.8,76.5,73.9,73.3,78.1,77.0,77.8,77.1,70.4,77.4,0.0,1372.0,73.2,77.8,0.0,458.1,484.2,404.3,0.0,77.8,229.7,217.9,181.2,231.0,218.0,187.8,217.1,158.5,174.0,221.3,209.4,180.1,197.9,178.4,140.5,198.3,180.9,152.6,166.3,156.3,126.1,0.0,156.9,134.2,142.4,1372.0,99.7,143.8,125.9,106.4,107.4,95.6,84.4,107.1,99.3,87.9,88.1,77.8,63.0,89.7,78.4,67.1,248.4,263.6,0.0,249.4,264.3,0.0,237.5,251.0,0.0,236.5,251.4,0.0,215.6,226.4,0.0,215.4,224.6,0.0,187.1,196.9,0.0,186.8,195.1,0.0,163.3,167.9,0.0,163.0,168.4,0.0,112.4,0.0,0.0,0.0,122.3,0.0,89.8,93.6,0.0,59.5,93.2,0.0,93.7,12.8,0.0,14.2,103.2,70.0,145.4,35.4,93.7,11.9,9.4,5.8,11.4,350.0,1.8311106,0.00655,0.026301103,0.06258435,0.03181182,685.6,10.0,1200
1000,False,False,True,False,False,False,False,True,True,0.0,38.148136,-14.699999809265137,4.5777764,0.0,483.7,10.4,232.1,232.3,0.0,0.0,0.0,1372.0,1372.0,404.4,1372.0,1372.0,232.7,228.4,0.0,0.0,1372.0,1372.0,310.9,309.6,308.7,311.0,312.7,1372.0,313.9,310.9,312.9,313.7,309.6,301.4,312.8,313.9,313.4,173.3,312.6,313.9,313.2,303.9,302.9,304.1,303.0,303.9,302.3,304.1,302.6,0.0,283.6,282.4,282.9,283.1,0.0,283.0,283.4,284.5,284.1,0.0,285.1,285.1,285.1,77.8,12.8,14.1,93.6,232.1,232.1,235.8,121.1,76.7,75.1,73.8,76.6,73.9,73.3,78.1,77.0,77.8,77.1,70.4,77.4,0.0,1372.0,73.3,77.8,0.0,457.4,483.7,404.4,0.0,77.8,229.7,217.9,181.1,231.0,218.0,187.8,217.1,158.5,174.0,221.2,209.4,180.1,197.9,178.4,140.5,198.3,180.9,152.6,166.3,156.3,126.0,0.0,156.9,134.1,142.4,1372.0,99.7,143.8,125.9,106.4,107.4,95.6,84.4,107.1,99.2,87.9,88.1,77.8,62.9,89.6,78.4,67.1,248.4,263.6,0.0,249.4,264.3,0.0,237.5,251.0,0.0,236.5,251.4,0.0,215.7,226.4,0.0,215.4,224.6,0.0,187.1,196.9,0.0,186.8,195.1,0.0,163.3,167.9,0.0,163.0,168.4,0.0,112.4,0.0,0.0,0.0,122.3,0.0,89.8,93.6,0.0,59.5,93.2,0.0,93.6,12.8,0.0,14.1,103.2,70.0,145.4,35.4,93.7,11.9,9.4,5.8,11.4,350.0,1.373333,0.00655,0.005731628,0.06252331,0.02493498,685.5,10.0,1200
2000,False,False,True,False,False,False,False,True,True,0.0,38.758507,-14.699999809265137,2.1057773,0.0,483.4,10.4,232.1,232.3,0.0,0.0,0.0,1372.0,1372.0,404.3,1372.0,1372.0,232.7,228.4,0.0,0.0,1372.0,1372.0,310.9,309.6,308.7,311.0,312.7,1372.0,314.0,310.9,312.9,313.8,309.7,302.1,312.7,313.9,313.6,172.6,312.6,313.9,313.2,303.9,302.8,304.1,303.0,303.9,302.3,304.1,302.6,0.0,283.6,282.4,282.9,283.1,0.0,283.0,283.4,284.5,284.1,0.0,285.1,285.1,285.2,77.8,12.8,14.1,93.6,232.1,232.2,235.8,121.0,76.7,75.1,73.8,76.6,73.9,73.3,78.1,77.1,77.8,77.1,70.4,77.4,0.0,1372.0,73.3,77.8,0.0,457.1,483.4,404.3,0.0,77.8,229.7,217.9,181.2,231.0,218.0,187.8,217.0,158.5,174.0,221.3,209.4,180.1,197.9,178.4,140.5,198.3,180.9,152.6,166.3,156.3,126.1,0.0,157.0,134.2,142.4,1372.0,99.6,143.8,125.9,106.4,107.4,95.6,84.4,107.1,99.3,87.9,88.1,77.8,62.9,89.6,78.4,67.1,248.4,263.7,0.0,249.4,264.3,0.0,237.5,251.0,0.0,236.4,251.4,0.0,215.6,226.4,0.0,215.4,224.6,0.0,187.1,197.0,0.0,186.8,195.1,0.0,163.3,167.9,0.0,163.0,168.4,0.0,112.4,0.0,0.0,0.0,122.3,0.0,89.8,93.6,0.0,59.5,93.2,0.0,93.6,12.8,0.0,14.1,103.3,70.0,145.4,35.4,93.7,11.9,9.4,5.8,11.4,350.0,4.8829613,0.00655,0.025568658,0.07521901,0.035779223,685.9,10.0,1200
3000,False,False,True,False,False,False,False,True,True,0.0,38.9111,-14.699999809265137,3.0213325,0.0,482.6,10.4,232.2,232.2,0.0,0.0,0.0,1372.0,1372.0,404.2,1372.0,1372.0,232.7,228.4,0.0,0.0,1372.0,1372.0,310.9,309.6,308.7,311.0,312.7,1372.0,313.9,310.9,312.9,313.8,309.7,302.2,312.7,313.9,313.6,171.3,312.6,313.9,313.2,303.9,302.9,304.1,302.9,303.9,302.3,304.0,302.6,0.0,283.6,282.4,282.9,283.1,0.0,283.0,283.4,284.5,284.1,0.0,285.1,285.1,285.1,77.8,12.8,14.1,93.6,232.1,232.1,235.8,120.9,76.7,75.1,73.9,76.6,74.0,73.3,78.2,77.1,77.8,77.1,70.4,77.4,0.0,1372.0,73.3,77.8,0.0,456.6,482.6,404.2,0.0,77.8,229.7,217.9,181.1,231.0,218.0,187.8,217.1,158.5,174.0,221.3,209.4,180.1,197.9,178.4,140.5,198.3,181.0,152.6,166.3,156.3,126.1,0.0,157.0,134.2,142.4,1372.0,99.6,143.8,125.9,106.4,107.4,95.6,84.4,107.1,99.4,87.9,88.1,77.8,62.9,89.6,78.5,67.2,248.4,263.7,0.0,249.4,264.3,0.0,237.5,251.0,0.0,236.4,251.4,0.0,215.6,226.4,0.0,215.4,224.6,0.0,187.1,196.9,0.0,186.8,195.1,0.0,163.3,167.9,0.0,163.0,168.4,0.0,112.4,0.0,0.0,0.0,122.3,0.0,89.8,93.6,0.0,59.5,93.2,0.0,93.7,12.8,0.0,14.1,103.3,70.0,145.4,35.4,93.7,12.0,9.4,5.8,11.4,350.0,3.2044435,0.00655,0.023310289,0.072411306,0.03409053,686.6,9.9,1200
4000,False,False,True,False,False,False,False,True,True,0.0,38.453323,-14.699999809265137,3.5706656,0.0,481.9,10.4,232.2,232.3,0.0,0.0,0.0,1372.0,1372.0,404.0,1372.0,1372.0,232.8,228.5,0.0,0.0,1372.0,1372.0,310.9,309.6,308.7,311.1,312.7,1372.0,313.9,310.9,312.9,313.8,309.7,302.2,312.7,313.9,313.5,171.1,312.6,313.9,313.2,303.9,302.8,304.1,302.9,303.9,302.3,304.0,302.6,0.0,283.6,282.4,282.9,283.1,0.0,283.0,283.4,284.4,284.1,0.0,285.1,285.1,285.2,77.8,12.8,14.2,93.6,232.1,232.2,235.8,120.9,76.7,75.2,73.9,76.6,73.9,73.3,78.3,77.1,77.8,77.1,70.4,77.4,0.0,1372.0,73.3,77.8,0.0,456.1,481.9,404.0,0.0,77.8,229.7,217.9,181.2,231.0,218.0,187.8,217.1,158.5,174.0,221.2,209.4,180.1,197.9,178.4,140.5,198.3,181.0,152.6,166.3,156.3,126.1,0.0,156.9,134.2,142.4,1372.0,99.6,143.8,125.9,106.4,107.4,95.6,84.3,107.1,99.3,87.9,88.1,77.8,62.9,89.6,78.5,67.1,248.4,263.6,0.0,249.4,264.3,0.0,237.5,251.0,0.0,236.4,251.4,0.0,215.6,226.4,0.0,215.4,224.6,0.0,187.1,197.0,0.0,186.7,195.1,0.0,163.3,167.9,0.0,163.0,168.4,0.0,112.4,0.0,0.0,0.0,122.3,0.0,89.8,93.6,0.0,59.5,93.2,0.0,93.6,12.8,0.0,14.2,103.3,70.0,145.4,35.4,93.7,12.0,9.4,5.8,11.4,350.0,2.2888882,0.00655,0.026240066,0.084435605,0.039075222,686.6,10.0,1200
5000,False,False,True,False,False,False,False,True,True,0.0,37.842953,-14.699999809265137,2.2888882,0.0,481.6,10.4,232.3,232.3,0.0,0.0,0.0,1372.0,1372.0,403.8,1372.0,1372.0,232.8,228.5,0.0,0.0,1372.0,1372.0,310.9,309.5,308.7,311.0,312.7,1372.0,313.9,310.9,312.9,313.8,309.7,302.4,312.7,313.9,313.6,170.5,312.6,313.9,313.2,303.9,302.9,304.1,303.0,303.9,302.3,304.0,302.6,0.0,283.6,282.4,282.9,283.1,0.0,283.0,283.5,284.5,284.1,0.0,285.1,285.1,285.2,77.8,12.8,14.1,93.6,232.1,232.2,235.8,120.8,76.8,75.2,73.9,76.6,73.9,73.4,78.3,77.2,77.8,77.1,70.4,77.5,0.0,1372.0,73.3,77.8,0.0,455.7,481.6,403.8,0.0,77.8,229.7,217.9,181.2,231.0,218.0,187.8,217.1,158.5,174.0,221.3,209.4,180.1,197.9,178.4,140.5,198.3,181.0,152.6,166.3,156.3,126.1,0.0,156.9,134.2,142.4,1372.0,99.7,143.8,125.9,106.4,107.4,95.6,84.4,107.0,99.3,87.9,88.1,77.8,63.0,89.6,78.4,67.1,248.4,263.6,0.0,249.4,264.3,0.0,237.5,251.0,0.0,236.5,251.4,0.0,215.6,226.4,0.0,215.4,224.6,0.0,187.1,196.9,0.0,186.8,195.1,0.0,163.3,167.9,0.0,163.0,168.4,0.0,112.4,0.0,0.0,0.0,122.3,0.0,89.8,93.6,0.0,59.5,93.2,0.0,93.6,12.8,0.0,14.1,103.3,69.9,145.4,35.4,93.7,12.0,9.4,5.8,11.4,350.0,2.4414806,0.00655,0.01836629,0.071739905,0.032218732,686.2,10.0,1200
6000,False,False,True,False,False,False,False,True,True,0.0,38.300728,-14.699999809265137,3.5706656,0.0,480.6,10.4,232.3,232.3,0.0,0.0,0.0,1372.0,1372.0,403.8,1372.0,1372.0,232.8,228.6,0.0,0.0,1372.0,1372.0,310.9,309.6,308.7,311.0,312.7,1372.0,313.9,310.9,312.9,313.8,309.7,302.6,312.7,313.9,313.5,171.0,312.6,313.9,313.2,303.9,302.9,304.0,303.0,303.9,302.3,304.1,302.6,0.0,283.6,282.4,282.9,283.1,0.0,283.0,283.4,284.5,284.1,0.0,285.1,285.1,285.2,77.8,12.8,14.2,93.6,232.1,232.2,235.8,121.0,76.8,75.2,73.9,76.6,74.0,73.4,78.3,77.3,77.8,77.1,70.4,77.4,0.0,1372.0,73.3,77.8,0.0,455.1,480.6,403.8,0.0,77.8,229.7,217.9,181.2,231.0,218.0,187.8,217.1,158.5,174.0,221.3,209.4,180.1,197.9,178.4,140.5,198.3,181.0,152.6,166.3,156.3,126.1,0.0,157.0,134.2,142.4,1372.0,99.6,143.8,125.9,106.4,107.4,95.6,84.4,107.1,99.3,87.9,88.1,77.8,63.0,89.6,78.4,67.1,248.4,263.7,0.0,249.4,264.3,0.0,237.5,251.0,0.0,236.4,251.4,0.0,215.7,226.4,0.0,215.4,224.6,0.0,187.1,197.0,0.0,186.8,195.1,0.0,163.3,167.9,0.0,163.0,168.4,0.0,112.4,0.0,0.0,0.0,122.3,0.0,89.8,93.6,0.0,59.5,93.2,0.0,93.7,12.8,0.0,14.2,103.3,70.0,145.4,35.4,93.7,11.9,9.4,5.8,11.4,350.0,2.2888882,0.00655,0.012689848,0.05257428,0.023938043,685.0,10.0,1200
7000,False,False,True,False,False,False,False,True,True,0.0,38.453323,-14.699999809265137,3.6622212,0.0,480.4,10.4,232.2,232.3,0.0,0.0,0.0,1372.0,1372.0,403.8,1372.0,1372.0,232.8,228.6,0.0,0.0,1372.0,1372.0,310.9,309.6,308.7,311.0,312.7,1372.0,314.0,310.9,312.9,313.8,309.7,302.4,312.8,313.9,313.5,166.9,312.6,313.9,313.2,303.9,302.9,304.1,303.0,303.9,302.3,304.0,302.6,0.0,283.6,282.4,282.9,283.1,0.0,283.0,283.4,284.5,284.1,0.0,285.1,285.1,285.2,77.8,12.8,14.1,93.6,232.1,232.1,235.8,120.9,76.8,75.2,73.9,76.6,73.9,73.4,78.4,77.3,77.9,77.1,70.5,77.4,0.0,1372.0,73.3,77.8,0.0,454.3,480.4,403.8,0.0,77.8,229.7,217.9,181.1,231.0,218.0,187.8,217.1,158.5,174.0,221.3,209.4,180.1,197.9,178.4,140.4,198.3,180.9,152.6,166.3,156.3,126.1,0.0,156.9,134.2,142.4,1372.0,99.7,143.8,125.9,106.4,107.4,95.6,84.4,107.1,99.3,87.9,88.1,77.8,62.9,89.6,78.4,67.1,248.4,263.7,0.0,249.4,264.3,0.0,237.5,251.0,0.0,236.4,251.4,0.0,215.6,226.4,0.0,215.4,224.7,0.0,187.1,197.0,0.0,186.8,195.1,0.0,163.3,167.9,0.0,163.0,168.4,0.0,112.4,0.0,0.0,0.0,122.3,0.0,89.8,93.6,0.0,59.4,93.2,0.0,93.7,12.8,0.0,14.1,103.3,70.0,145.4,35.4,93.6,12.0,9.4,5.8,11.4,350.0,3.8148136,0.00655,0.02245577,0.062218133,0.030407967,684.1,10.0,1200
8000,False,False,True,False,False,False,False,True,True,0.0,38.453323,-14.699999809265137,2.5635548,0.0,480.8,10.4,232.2,232.3,0.0,0.0,0.0,1372.0,1372.0,403.8,1372.0,1372.0,232.8,228.6,0.0,0.0,1372.0,1372.0,310.9,309.6,308.7,311.1,312.7,1372.0,314.0,310.9,312.9,313.8,309.7,302.4,312.8,313.9,313.5,161.3,312.6,313.8,313.2,303.9,302.9,304.1,303.0,303.9,302.3,304.1,302.6,0.0,283.6,282.4,282.9,283.1,0.0,283.0,283.4,284.5,284.1,0.0,285.1,285.1,285.1,77.8,12.8,14.2,93.6,232.1,232.1,235.8,121.1,76.8,75.3,73.9,76.6,74.0,73.4,78.4,77.3,77.9,77.1,70.5,77.4,0.0,1372.0,73.4,77.8,0.0,454.1,480.8,403.8,0.0,77.8,229.7,217.9,181.1,231.0,218.0,187.8,217.0,158.5,174.0,221.2,209.4,180.1,197.9,178.4,140.5,198.3,181.0,152.7,166.3,156.3,126.1,0.0,157.0,134.2,142.4,1372.0,99.6,143.8,125.9,106.4,107.4,95.6,84.4,107.1,99.3,87.9,88.0,77.8,62.9,89.6,78.5,67.1,248.4,263.6,0.0,249.4,264.3,0.0,237.5,251.0,0.0,236.4,251.4,0.0,215.7,226.4,0.0,215.4,224.6,0.0,187.1,196.9,0.0,186.7,195.2,0.0,163.3,167.9,0.0,163.0,168.4,0.0,112.4,0.0,0.0,0.0,122.3,0.0,89.8,93.6,0.0,59.5,93.2,0.0,93.6,12.8,0.0,14.2,103.4,69.9,145.4,35.4,93.7,12.0,9.4,5.8,11.4,350.0,3.357036,0.00655,0.032954138,0.08400834,0.041170824,683.0,10.0,1200
9000,False,False,True,False,False,False,False,True,True,0.0,38.9111,-14.699999809265137,2.5635548,0.0,480.1,10.4,232.3,232.3,0.0,0.0,0.0,1372.0,1372.0,403.8,1372.0,1372.0,232.8,228.7,0.0,0.0,1372.0,1372.0,310.9,309.5,308.7,311.1,312.7,1372.0,314.0,310.9,312.9,313.8,309.6,302.5,312.7,313.9,313.5,158.8,312.6,313.8,313.2,303.9,302.9,304.1,302.9,303.9,302.3,304.0,302.6,0.0,283.6,282.4,282.9,283.1,0.0,283.0,283.4,284.5,284.1,0.0,285.1,285.1,285.2,77.8,12.8,14.2,93.6,232.1,232.2,235.8,120.9,76.8,75.3,73.9,76.7,74.0,73.4,78.4,77.3,77.9,77.1,70.5,77.5,0.0,1372.0,73.3,77.9,0.0,453.7,480.1,403.8,0.0,77.8,229.7,217.9,181.1,231.0,218.0,187.8,217.1,158.6,174.0,221.3,209.4,180.1,197.9,178.4,140.4,198.3,181.0,152.7,166.3,156.3,126.1,0.0,157.0,134.2,142.4,1372.0,99.6,143.8,125.9,106.4,107.4,95.6,84.4,107.1,99.3,87.9,88.1,77.8,62.9,89.6,78.4,67.1,248.4,263.6,0.0,249.4,264.3,0.0,237.5,251.0,0.0,236.4,251.4,0.0,215.7,226.4,0.0,215.4,224.6,0.0,187.2,197.0,0.0,186.8,195.1,0.0,163.3,167.9,0.0,163.0,168.4,0.0,112.4,0.0,0.0,0.0,122.3,0.0,89.8,93.6,0.0,59.5,93.2,0.0,93.6,12.8,0.0,14.2,103.3,70.0,145.4,35.4,93.7,12.0,9.4,5.8,11.4,350.0,3.8148136,0.00655,0.021173993,0.06105843,0.02959414,681.3,10.0,1200
